id,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,class
157.0,9.0,1288.0,3.0,4.0,48.0,2.0,2.0,<0,critical/other existing credit,repairs,100<=X<500,>=7,male single,guarantor,real estate,none,own,skilled,none,no,good
158.0,12.0,339.0,4.0,1.0,45.0,1.0,1.0,<0,all paid,retraining,<100,>=7,male mar/wid,none,car,bank,own,unskilled resident,none,yes,good
159.0,24.0,3512.0,2.0,3.0,38.0,2.0,1.0,0<=X<200,existing paid,new car,100<=X<500,4<=X<7,male single,none,car,bank,own,skilled,yes,yes,good
160.0,6.0,1898.0,1.0,2.0,34.0,2.0,2.0,no checking,critical/other existing credit,radio/tv,no known savings,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,good
161.0,24.0,2872.0,3.0,4.0,36.0,1.0,2.0,no checking,critical/other existing credit,radio/tv,100<=X<500,>=7,male single,none,real estate,none,own,skilled,yes,yes,good
162.0,18.0,1055.0,4.0,1.0,30.0,2.0,1.0,no checking,critical/other existing credit,new car,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,good
163.0,15.0,1262.0,4.0,3.0,36.0,2.0,1.0,no checking,existing paid,domestic appliance,500<=X<1000,4<=X<7,male single,none,life insurance,none,own,skilled,yes,yes,good
164.0,10.0,7308.0,2.0,4.0,70.0,1.0,1.0,0<=X<200,existing paid,new car,<100,unemployed,male single,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes,good
165.0,36.0,909.0,4.0,4.0,36.0,1.0,1.0,no checking,existing paid,new car,500<=X<1000,>=7,male single,none,life insurance,none,own,skilled,none,yes,good
166.0,6.0,2978.0,1.0,2.0,32.0,1.0,1.0,no checking,existing paid,furniture/equipment,500<=X<1000,1<=X<4,male single,none,car,none,own,skilled,yes,yes,good
167.0,18.0,1131.0,4.0,2.0,33.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,unemployed,female div/dep/mar,none,car,none,own,skilled,none,yes,bad
168.0,11.0,1577.0,4.0,1.0,20.0,1.0,1.0,0<=X<200,existing paid,furniture/equipment,>=1000,<1,female div/dep/mar,none,real estate,none,own,skilled,none,yes,good
169.0,24.0,3972.0,2.0,4.0,25.0,1.0,1.0,no checking,existing paid,furniture/equipment,<100,4<=X<7,female div/dep/mar,none,life insurance,none,rent,skilled,yes,yes,good
170.0,24.0,1935.0,4.0,4.0,31.0,2.0,1.0,0<=X<200,critical/other existing credit,business,<100,>=7,male div/sep,none,real estate,none,own,skilled,yes,yes,bad
171.0,15.0,950.0,4.0,3.0,33.0,2.0,2.0,<0,no credits/all paid,new car,<100,>=7,male single,none,car,none,rent,skilled,none,yes,bad
172.0,12.0,763.0,4.0,1.0,26.0,1.0,1.0,no checking,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,good
173.0,24.0,2064.0,3.0,2.0,34.0,1.0,1.0,0<=X<200,delayed previously,furniture/equipment,<100,unemployed,female div/dep/mar,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,bad
174.0,8.0,1414.0,4.0,2.0,33.0,1.0,1.0,0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,guarantor,real estate,none,own,skilled,none,no,good
175.0,21.0,3414.0,2.0,1.0,26.0,2.0,1.0,<0,delayed previously,education,<100,<1,male single,none,life insurance,none,own,skilled,none,yes,bad
176.0,30.0,7485.0,4.0,1.0,53.0,1.0,1.0,no checking,all paid,used car,no known savings,unemployed,female div/dep/mar,none,real estate,bank,own,high qualif/self emp/mgmt,yes,yes,bad
177.0,12.0,2577.0,2.0,1.0,42.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,1<=X<4,male div/sep,none,car,none,own,skilled,none,yes,good
178.0,6.0,338.0,4.0,4.0,52.0,2.0,1.0,<0,critical/other existing credit,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,none,yes,good
179.0,12.0,1963.0,4.0,2.0,31.0,2.0,2.0,no checking,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,good
180.0,21.0,571.0,4.0,4.0,65.0,2.0,1.0,<0,critical/other existing credit,new car,<100,>=7,male single,none,real estate,none,own,skilled,none,yes,good
181.0,36.0,9572.0,1.0,1.0,28.0,2.0,1.0,no checking,delayed previously,business,<100,<1,male div/sep,none,car,none,own,skilled,none,yes,bad
182.0,36.0,4455.0,2.0,2.0,30.0,2.0,1.0,0<=X<200,delayed previously,business,<100,1<=X<4,male div/sep,none,real estate,stores,own,high qualif/self emp/mgmt,yes,yes,bad
183.0,21.0,1647.0,4.0,2.0,40.0,2.0,2.0,<0,all paid,new car,no known savings,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,bad
184.0,24.0,3777.0,4.0,4.0,50.0,1.0,1.0,no checking,critical/other existing credit,furniture/equipment,>=1000,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,good
185.0,18.0,884.0,4.0,4.0,36.0,1.0,2.0,0<=X<200,critical/other existing credit,new car,<100,>=7,male single,none,car,bank,own,skilled,yes,yes,bad
186.0,15.0,1360.0,4.0,2.0,31.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,good
187.0,9.0,5129.0,2.0,4.0,74.0,1.0,2.0,0<=X<200,all paid,used car,<100,>=7,female div/dep/mar,none,no known property,bank,for free,high qualif/self emp/mgmt,yes,yes,bad
188.0,16.0,1175.0,2.0,3.0,68.0,3.0,1.0,0<=X<200,critical/other existing credit,new car,<100,unemployed,male single,none,car,none,for free,unemp/unskilled non res,yes,yes,good
189.0,12.0,674.0,4.0,1.0,20.0,1.0,1.0,<0,existing paid,radio/tv,100<=X<500,4<=X<7,male mar/wid,none,life insurance,none,own,skilled,none,yes,bad
190.0,18.0,3244.0,1.0,4.0,33.0,2.0,1.0,0<=X<200,no credits/all paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,car,bank,own,skilled,yes,yes,good
191.0,24.0,4591.0,2.0,3.0,54.0,3.0,1.0,no checking,existing paid,business,>=1000,1<=X<4,male single,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,bad
192.0,48.0,3844.0,4.0,4.0,34.0,1.0,2.0,0<=X<200,no credits/all paid,business,100<=X<500,4<=X<7,male single,none,no known property,none,for free,unskilled resident,none,yes,bad
193.0,27.0,3915.0,4.0,2.0,36.0,1.0,2.0,0<=X<200,existing paid,business,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,bad
194.0,6.0,2108.0,2.0,2.0,29.0,1.0,1.0,no checking,existing paid,radio/tv,<100,4<=X<7,male mar/wid,none,real estate,none,rent,skilled,none,yes,good
195.0,45.0,3031.0,4.0,4.0,21.0,1.0,1.0,0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,male single,guarantor,life insurance,none,rent,skilled,none,yes,bad
196.0,9.0,1501.0,2.0,3.0,34.0,2.0,1.0,0<=X<200,critical/other existing credit,education,<100,>=7,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,yes,yes,bad
197.0,6.0,1382.0,1.0,1.0,28.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,good
198.0,12.0,951.0,4.0,4.0,27.0,4.0,1.0,0<=X<200,existing paid,furniture/equipment,100<=X<500,<1,female div/dep/mar,none,car,bank,rent,skilled,none,yes,bad
199.0,24.0,2760.0,4.0,4.0,36.0,1.0,1.0,0<=X<200,existing paid,used car,no known savings,>=7,male single,none,no known property,bank,for free,skilled,yes,yes,good
200.0,18.0,4297.0,4.0,3.0,40.0,1.0,1.0,0<=X<200,delayed previously,furniture/equipment,<100,>=7,male div/sep,none,no known property,none,own,high qualif/self emp/mgmt,yes,yes,bad
201.0,9.0,936.0,4.0,2.0,52.0,2.0,1.0,no checking,critical/other existing credit,education,500<=X<1000,>=7,male single,none,car,none,own,skilled,yes,yes,good
202.0,12.0,1168.0,4.0,3.0,27.0,1.0,1.0,<0,existing paid,new car,<100,1<=X<4,male mar/wid,none,real estate,none,own,unskilled resident,none,yes,good
203.0,27.0,5117.0,3.0,4.0,26.0,2.0,1.0,no checking,delayed previously,business,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,good
204.0,12.0,902.0,4.0,4.0,21.0,1.0,1.0,<0,existing paid,retraining,<100,4<=X<7,male mar/wid,none,life insurance,none,rent,skilled,none,yes,bad
205.0,12.0,1495.0,4.0,1.0,38.0,2.0,2.0,no checking,critical/other existing credit,new car,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,good
206.0,30.0,10623.0,3.0,4.0,38.0,3.0,2.0,<0,critical/other existing credit,used car,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,good
207.0,12.0,1935.0,4.0,4.0,43.0,3.0,1.0,no checking,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,real estate,none,own,skilled,yes,yes,good
208.0,12.0,1424.0,4.0,3.0,26.0,1.0,1.0,0<=X<200,critical/other existing credit,domestic appliance,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,good
209.0,24.0,6568.0,2.0,2.0,21.0,1.0,1.0,<0,existing paid,business,<100,1<=X<4,male mar/wid,none,car,stores,own,unskilled resident,none,yes,good
210.0,12.0,1413.0,3.0,2.0,55.0,1.0,1.0,no checking,existing paid,used car,>=1000,4<=X<7,male single,none,life insurance,none,own,skilled,none,no,good
211.0,9.0,3074.0,1.0,2.0,33.0,2.0,2.0,no checking,critical/other existing credit,radio/tv,no known savings,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,good
212.0,36.0,3835.0,2.0,4.0,45.0,1.0,1.0,no checking,existing paid,radio/tv,no known savings,>=7,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,good
213.0,27.0,5293.0,2.0,4.0,50.0,2.0,1.0,<0,no credits/all paid,business,<100,unemployed,male single,none,life insurance,stores,own,skilled,yes,yes,bad
214.0,30.0,1908.0,4.0,4.0,66.0,1.0,1.0,>=200,delayed previously,business,<100,>=7,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,bad
215.0,36.0,3342.0,4.0,2.0,51.0,1.0,1.0,no checking,critical/other existing credit,radio/tv,no known savings,>=7,male single,none,car,none,own,skilled,yes,yes,good
216.0,6.0,932.0,1.0,3.0,39.0,2.0,1.0,0<=X<200,critical/other existing credit,retraining,no known savings,4<=X<7,female div/dep/mar,none,life insurance,none,own,unskilled resident,none,yes,good
217.0,18.0,3104.0,3.0,1.0,31.0,1.0,1.0,<0,no credits/all paid,business,<100,4<=X<7,male single,none,life insurance,bank,own,skilled,yes,yes,good
218.0,36.0,3913.0,2.0,2.0,23.0,1.0,1.0,>=200,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,good
219.0,24.0,3021.0,2.0,2.0,24.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,1<=X<4,male div/sep,none,real estate,none,rent,unskilled resident,none,yes,good
220.0,10.0,1364.0,2.0,4.0,64.0,1.0,1.0,no checking,existing paid,new car,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,good
221.0,12.0,625.0,4.0,1.0,26.0,1.0,1.0,0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid,guarantor,real estate,bank,own,unskilled resident,none,yes,good
222.0,12.0,1200.0,4.0,4.0,23.0,1.0,1.0,<0,existing paid,education,no known savings,1<=X<4,female div/dep/mar,none,life insurance,bank,rent,skilled,yes,yes,good
223.0,12.0,707.0,4.0,2.0,30.0,2.0,1.0,no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,bank,own,skilled,none,yes,good
224.0,24.0,2978.0,4.0,4.0,32.0,2.0,2.0,no checking,delayed previously,business,no known savings,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,good
225.0,15.0,4657.0,3.0,2.0,30.0,1.0,1.0,no checking,existing paid,used car,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,good
226.0,36.0,2613.0,4.0,2.0,27.0,2.0,1.0,no checking,no credits/all paid,repairs,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,good
227.0,48.0,10961.0,1.0,2.0,27.0,2.0,1.0,0<=X<200,existing paid,radio/tv,>=1000,4<=X<7,male single,co applicant,no known property,bank,own,skilled,yes,yes,bad
228.0,12.0,7865.0,4.0,4.0,53.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,bad
229.0,9.0,1478.0,4.0,2.0,22.0,1.0,1.0,no checking,existing paid,radio/tv,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,bad
230.0,24.0,3149.0,4.0,1.0,22.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,<1,male single,none,no known property,bank,for free,skilled,none,yes,good
231.0,36.0,4210.0,4.0,2.0,26.0,1.0,1.0,>=200,existing paid,radio/tv,<100,1<=X<4,male single,none,car,none,own,skilled,none,yes,bad
232.0,9.0,2507.0,2.0,4.0,51.0,1.0,1.0,no checking,existing paid,new car,500<=X<1000,>=7,male single,none,no known property,none,for free,unskilled resident,none,yes,good
233.0,12.0,2141.0,3.0,1.0,35.0,1.0,1.0,no checking,existing paid,radio/tv,100<=X<500,4<=X<7,male single,none,no known property,none,own,skilled,none,yes,good
234.0,18.0,866.0,4.0,2.0,25.0,1.0,1.0,0<=X<200,existing paid,radio/tv,<100,1<=X<4,male mar/wid,guarantor,real estate,none,own,unskilled resident,none,yes,good
235.0,4.0,1544.0,2.0,1.0,42.0,3.0,2.0,no checking,critical/other existing credit,radio/tv,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,good
236.0,24.0,1823.0,4.0,2.0,30.0,1.0,2.0,<0,existing paid,radio/tv,<100,unemployed,male single,none,car,stores,own,high qualif/self emp/mgmt,none,yes,bad
237.0,6.0,14555.0,1.0,2.0,23.0,1.0,1.0,0<=X<200,existing paid,new car,no known savings,unemployed,male single,none,life insurance,none,own,unemp/unskilled non res,yes,yes,bad
238.0,21.0,2767.0,4.0,2.0,61.0,2.0,1.0,0<=X<200,existing paid,business,100<=X<500,>=7,male div/sep,none,car,bank,rent,unskilled resident,none,yes,bad
239.0,12.0,1291.0,4.0,2.0,35.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,good
240.0,30.0,2522.0,1.0,3.0,39.0,1.0,2.0,<0,existing paid,radio/tv,<100,>=7,male single,guarantor,life insurance,none,own,skilled,none,yes,good
241.0,24.0,915.0,4.0,2.0,29.0,1.0,1.0,<0,existing paid,new car,no known savings,>=7,female div/dep/mar,none,car,bank,own,skilled,none,yes,bad
242.0,6.0,1595.0,3.0,2.0,51.0,1.0,2.0,no checking,existing paid,radio/tv,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,good
243.0,48.0,4605.0,3.0,4.0,24.0,2.0,2.0,<0,no credits/all paid,used car,<100,>=7,male single,none,no known property,none,for free,skilled,none,yes,bad
244.0,12.0,1185.0,3.0,2.0,27.0,2.0,1.0,no checking,critical/other existing credit,business,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,good
245.0,12.0,3447.0,4.0,3.0,35.0,1.0,2.0,no checking,all paid,retraining,500<=X<1000,1<=X<4,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,good
246.0,24.0,1258.0,4.0,1.0,25.0,1.0,1.0,no checking,existing paid,business,<100,4<=X<7,male single,none,real estate,none,own,skilled,yes,yes,good
247.0,12.0,717.0,4.0,4.0,52.0,3.0,1.0,no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,none,own,skilled,none,yes,good
248.0,6.0,1204.0,4.0,1.0,35.0,1.0,1.0,no checking,no credits/all paid,new car,100<=X<500,1<=X<4,male single,none,no known property,bank,rent,skilled,none,no,good
249.0,24.0,1925.0,2.0,2.0,26.0,1.0,1.0,>=200,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,good
250.0,18.0,433.0,3.0,4.0,22.0,1.0,1.0,no checking,existing paid,radio/tv,<100,unemployed,female div/dep/mar,co applicant,real estate,none,rent,skilled,none,yes,bad
251.0,6.0,666.0,3.0,4.0,39.0,2.0,1.0,<0,critical/other existing credit,new car,>=1000,4<=X<7,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,good
252.0,12.0,2251.0,1.0,2.0,46.0,1.0,1.0,>=200,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,car,none,own,unskilled resident,none,yes,good
253.0,30.0,2150.0,4.0,2.0,24.0,1.0,1.0,0<=X<200,existing paid,new car,<100,1<=X<4,female div/dep/mar,guarantor,no known property,bank,own,skilled,none,yes,bad
254.0,24.0,4151.0,2.0,3.0,35.0,2.0,1.0,no checking,delayed previously,furniture/equipment,100<=X<500,1<=X<4,male single,none,life insurance,none,own,skilled,none,yes,good
255.0,9.0,2030.0,2.0,1.0,24.0,1.0,1.0,0<=X<200,existing paid,furniture/equipment,no known savings,4<=X<7,male single,none,car,none,own,skilled,yes,yes,good
256.0,60.0,7418.0,1.0,1.0,27.0,1.0,1.0,0<=X<200,delayed previously,radio/tv,no known savings,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,good
257.0,24.0,2684.0,4.0,2.0,35.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,good
258.0,12.0,2149.0,4.0,1.0,29.0,1.0,1.0,<0,all paid,radio/tv,<100,1<=X<4,male div/sep,none,no known property,none,for free,skilled,none,yes,bad
259.0,15.0,3812.0,1.0,4.0,23.0,1.0,1.0,no checking,existing paid,used car,100<=X<500,<1,female div/dep/mar,none,car,none,own,skilled,yes,yes,good
260.0,11.0,1154.0,4.0,4.0,57.0,3.0,1.0,no checking,critical/other existing credit,radio/tv,100<=X<500,unemployed,female div/dep/mar,none,real estate,none,own,unskilled resident,none,yes,good
261.0,12.0,1657.0,2.0,2.0,27.0,1.0,1.0,<0,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,good
262.0,24.0,1603.0,4.0,4.0,55.0,1.0,1.0,<0,existing paid,radio/tv,<100,>=7,female div/dep/mar,none,car,none,own,skilled,none,yes,good
263.0,18.0,5302.0,2.0,4.0,36.0,3.0,1.0,<0,critical/other existing credit,new car,<100,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,good
264.0,12.0,2748.0,2.0,4.0,57.0,3.0,1.0,no checking,critical/other existing credit,education,<100,>=7,female div/dep/mar,none,no known property,bank,for free,unskilled resident,none,yes,good
265.0,10.0,1231.0,3.0,4.0,32.0,2.0,2.0,no checking,critical/other existing credit,new car,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,no,good
266.0,15.0,802.0,4.0,3.0,37.0,1.0,2.0,0<=X<200,existing paid,radio/tv,<100,>=7,male single,none,car,none,own,skilled,none,yes,bad
267.0,36.0,6304.0,4.0,4.0,36.0,2.0,1.0,no checking,critical/other existing credit,business,no known savings,>=7,male single,none,real estate,none,own,skilled,none,yes,good
268.0,24.0,1533.0,4.0,3.0,38.0,1.0,1.0,no checking,existing paid,radio/tv,<100,<1,female div/dep/mar,none,car,stores,own,skilled,yes,yes,good
269.0,14.0,8978.0,1.0,4.0,45.0,1.0,1.0,<0,existing paid,new car,<100,>=7,male div/sep,none,life insurance,none,own,high qualif/self emp/mgmt,yes,no,bad
270.0,24.0,999.0,4.0,2.0,25.0,2.0,1.0,no checking,existing paid,radio/tv,no known savings,>=7,male single,none,car,none,own,skilled,none,yes,good
271.0,18.0,2662.0,4.0,3.0,32.0,1.0,1.0,no checking,existing paid,new car,no known savings,4<=X<7,male single,none,life insurance,none,own,skilled,none,no,good
272.0,12.0,1402.0,3.0,4.0,37.0,1.0,1.0,no checking,critical/other existing credit,furniture/equipment,500<=X<1000,4<=X<7,female div/dep/mar,none,car,none,rent,skilled,yes,yes,good
273.0,48.0,12169.0,4.0,4.0,36.0,1.0,1.0,0<=X<200,all paid,new car,no known savings,unemployed,male single,co applicant,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,good
274.0,48.0,3060.0,4.0,4.0,28.0,2.0,1.0,0<=X<200,existing paid,radio/tv,<100,4<=X<7,male single,none,real estate,none,own,skilled,none,yes,bad
275.0,30.0,11998.0,1.0,1.0,34.0,1.0,1.0,<0,existing paid,repairs,<100,<1,male div/sep,none,no known property,none,own,unskilled resident,yes,yes,bad
276.0,9.0,2697.0,1.0,2.0,32.0,1.0,2.0,no checking,existing paid,radio/tv,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,good
277.0,18.0,2404.0,2.0,2.0,26.0,2.0,1.0,no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,none,yes,good
278.0,12.0,1262.0,2.0,4.0,49.0,1.0,1.0,<0,existing paid,furniture/equipment,no known savings,>=7,male div/sep,none,life insurance,none,own,unskilled resident,yes,yes,good
279.0,6.0,4611.0,1.0,4.0,32.0,1.0,1.0,no checking,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,bad
280.0,24.0,1901.0,4.0,4.0,29.0,1.0,1.0,no checking,existing paid,radio/tv,100<=X<500,1<=X<4,male single,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,good
281.0,15.0,3368.0,3.0,4.0,23.0,2.0,1.0,no checking,critical/other existing credit,used car,>=1000,>=7,male single,none,no known property,none,rent,skilled,yes,yes,good
282.0,12.0,1574.0,4.0,2.0,50.0,1.0,1.0,no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,own,skilled,none,yes,good
283.0,18.0,1445.0,4.0,4.0,49.0,1.0,1.0,>=200,all paid,radio/tv,no known savings,4<=X<7,male single,none,car,bank,own,unskilled resident,none,yes,good
284.0,15.0,1520.0,4.0,4.0,63.0,1.0,1.0,no checking,critical/other existing credit,furniture/equipment,no known savings,>=7,male single,none,life insurance,none,own,skilled,none,yes,good
285.0,24.0,3878.0,4.0,2.0,37.0,1.0,1.0,0<=X<200,critical/other existing credit,new car,100<=X<500,<1,male div/sep,none,car,none,own,skilled,yes,yes,good
286.0,47.0,10722.0,1.0,1.0,35.0,1.0,1.0,<0,existing paid,new car,<100,<1,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,good
287.0,48.0,4788.0,4.0,3.0,26.0,1.0,2.0,<0,existing paid,used car,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,good
288.0,48.0,7582.0,2.0,4.0,31.0,1.0,1.0,0<=X<200,delayed previously,other,100<=X<500,unemployed,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,good
289.0,12.0,1092.0,4.0,4.0,49.0,2.0,1.0,0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,guarantor,real estate,none,own,skilled,yes,yes,good
290.0,24.0,1024.0,4.0,4.0,48.0,1.0,1.0,<0,delayed previously,radio/tv,<100,<1,male mar/wid,none,real estate,stores,own,skilled,none,yes,bad
291.0,12.0,1076.0,2.0,2.0,26.0,1.0,1.0,no checking,existing paid,business,<100,1<=X<4,male mar/wid,none,real estate,none,own,skilled,yes,no,good
292.0,36.0,9398.0,1.0,4.0,28.0,1.0,1.0,0<=X<200,existing paid,used car,<100,<1,male mar/wid,none,car,none,rent,high qualif/self emp/mgmt,yes,yes,bad
293.0,24.0,6419.0,2.0,4.0,44.0,2.0,2.0,<0,critical/other existing credit,used car,<100,>=7,female div/dep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,good
294.0,42.0,4796.0,4.0,4.0,56.0,1.0,1.0,>=200,critical/other existing credit,used car,<100,>=7,male single,none,no known property,none,for free,skilled,none,yes,good
295.0,48.0,7629.0,4.0,2.0,46.0,2.0,2.0,no checking,critical/other existing credit,business,no known savings,>=7,male div/sep,none,car,bank,own,high qualif/self emp/mgmt,none,yes,good
296.0,48.0,9960.0,1.0,2.0,26.0,1.0,1.0,0<=X<200,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,car,none,own,skilled,yes,yes,bad
297.0,12.0,4675.0,1.0,4.0,20.0,1.0,1.0,no checking,existing paid,used car,no known savings,<1,female div/dep/mar,none,car,none,rent,skilled,none,yes,good
298.0,10.0,1287.0,4.0,2.0,45.0,1.0,1.0,no checking,existing paid,new car,no known savings,>=7,male single,co applicant,life insurance,none,own,unskilled resident,none,no,good
299.0,18.0,2515.0,3.0,4.0,43.0,1.0,1.0,no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,none,real estate,none,own,skilled,yes,yes,good
300.0,21.0,2745.0,3.0,2.0,32.0,2.0,1.0,0<=X<200,critical/other existing credit,furniture/equipment,>=1000,4<=X<7,male single,none,car,none,own,skilled,yes,yes,good
301.0,6.0,672.0,1.0,4.0,54.0,1.0,1.0,no checking,existing paid,new car,<100,unemployed,female div/dep/mar,none,real estate,none,own,unemp/unskilled non res,yes,yes,good
302.0,36.0,3804.0,4.0,1.0,42.0,1.0,1.0,0<=X<200,no credits/all paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,car,none,own,skilled,yes,yes,bad
303.0,24.0,1344.0,4.0,2.0,37.0,2.0,2.0,>=200,critical/other existing credit,new car,no known savings,4<=X<7,male single,none,real estate,bank,own,unskilled resident,none,yes,bad
304.0,10.0,1038.0,4.0,3.0,49.0,2.0,1.0,<0,critical/other existing credit,new car,<100,4<=X<7,male single,co applicant,life insurance,none,own,skilled,yes,yes,good
305.0,48.0,10127.0,2.0,2.0,44.0,1.0,1.0,no checking,critical/other existing credit,new car,500<=X<1000,1<=X<4,male single,none,no known property,bank,for free,skilled,none,yes,bad
306.0,6.0,1543.0,4.0,2.0,33.0,1.0,1.0,no checking,existing paid,furniture/equipment,>=1000,1<=X<4,male div/sep,none,real estate,none,own,skilled,none,yes,good
307.0,30.0,4811.0,2.0,4.0,24.0,1.0,1.0,no checking,existing paid,used car,no known savings,4<=X<7,female div/dep/mar,none,life insurance,stores,rent,unskilled resident,none,yes,good
308.0,12.0,727.0,4.0,3.0,33.0,1.0,1.0,<0,existing paid,radio/tv,100<=X<500,<1,male mar/wid,none,no known property,none,own,unskilled resident,yes,yes,bad
309.0,8.0,1237.0,3.0,4.0,24.0,1.0,1.0,0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,none,yes,bad
310.0,9.0,276.0,4.0,4.0,22.0,1.0,1.0,0<=X<200,existing paid,new car,<100,1<=X<4,male mar/wid,none,real estate,none,rent,unskilled resident,none,yes,good
311.0,48.0,5381.0,3.0,4.0,40.0,1.0,1.0,0<=X<200,existing paid,other,no known savings,unemployed,male single,none,no known property,bank,for free,unemp/unskilled non res,yes,yes,good
312.0,24.0,5511.0,4.0,1.0,25.0,1.0,1.0,no checking,existing paid,furniture/equipment,100<=X<500,1<=X<4,male single,none,car,stores,own,skilled,none,yes,good
313.0,24.0,3749.0,2.0,4.0,26.0,1.0,1.0,>=200,existing paid,furniture/equipment,<100,<1,female div/dep/mar,none,car,none,own,skilled,none,yes,good
314.0,12.0,685.0,2.0,3.0,25.0,1.0,1.0,0<=X<200,existing paid,new car,<100,4<=X<7,male mar/wid,none,car,bank,own,unskilled resident,none,yes,bad
